cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq,jitter
41,811.0932,824.6638,20,13.5706,0,20,0,PI,none yet,30,20.58813396414,9.41186603586002,1,0,29,38,-6.42939999999999
42,826.2483,855.8237,20,29.5753999999998,0,20,1,PI,none yet,30,20.6023695622476,9.39763043775244,1,0,29,38,9.57539999999983
43,858.1637,872.5634,20,14.3997000000001,0,20,0,PI,none yet,30,20.6165624535608,9.38343754643919,1,0,29,38,-5.60029999999995
44,874.1338,888.2314,20,14.0976000000001,0,20,0,PI,none yet,30,20.6307127662001,9.36928723379987,1,0,29,38,-5.90239999999994
45,889.9237,903.2849,20,13.3612000000001,0,20,0,PI,none yet,30,20.6448206279015,9.35517937209847,1,0,29,38,-6.63879999999995
46,904.9404,933.8687,20,28.9283,0,20,1,PI,none yet,30,20.6588861660178,9.34111383398217,1,0,29,38,8.92830000000004
47,935.8166,951.1725,20,15.3559,0,20,0,PI,none yet,30,20.6729095075198,9.32709049248023,1,0,29,38,-4.64409999999998
48,952.7433,981.4071,20,28.6638,0,20,1,PI,none yet,30,20.6868907789972,9.31310922100279,1,0,29,38,8.66380000000004
49,983.097,998.7683,20,15.6713000000001,0,20,0,PI,none yet,30,20.7008301066602,9.29916989333978,1,0,29,38,-4.32869999999991
50,1000.4016,1013.9825,20,13.5808999999999,0,20,0,PI,none yet,30,20.7147276163402,9.28527238365976,1,0,29,38,-6.41910000000007
51,1015.8471,1029.8278,20,13.9807000000001,0,20,0,PI,none yet,30,20.7285834334912,9.27141656650878,1,0,29,38,-6.01929999999993
52,1031.7513,1045.6622,20,13.9108999999999,0,20,0,PI,none yet,30,20.7423976831907,9.25760231680925,1,0,29,38,-6.08910000000014
53,1047.4034,1060.5066,20,13.1032,0,20,0,PI,none yet,30,20.7561704901412,9.24382950985883,1,0,29,38,-6.89679999999998
54,1062.2417,1076.1595,20,13.9177999999999,0,20,0,PI,none yet,30,20.7699019786707,9.23009802132925,1,0,29,38,-6.08220000000006
55,1077.8775,1106.4593,20,28.5817999999999,0,20,1,PI,none yet,30,20.7835922727347,9.21640772726526,1,0,29,38,8.58179999999993
